,word,count
0,beer,39434
1,head,31490
2,taste,23273
3,malt,21039
4,chocolate,19796
5,coffee,18508
6,carbonation,16621
7,flavor,16535
8,light,15924
9,hops,15434
10,bit,14819
11,aroma,14353
12,glass,13500
13,finish,13314
14,porter,12855
15,body,12682
16,color,11939
17,smell,11300
18,bottle,11141
19,malts,10803
20,lager,10677
21,caramel,10386
22,mouthfeel,10194
23,bitterness,9629
24,notes,9304
25,hop,9294
26,flavors,8443
27,nose,8373
28,sweetness,8222
29,t,7105
30,s,6965
31,medium,6531
32,style,6495
33,ale,6329
34,vanilla,6177
35,citrus,6117
36,finger,6085
37,one,5939
38,lacing,5722
39,m,5596
40,brew,5369
41,brown,5367
42,hint,5331
43,what,5242
44,tan,5137
45,pint,4887
46,appearance,4638
47,o,4616
48,touch,4257
49,retention,4196
